# domain	subdomain	url
Architecture and Transportation	tall buildings	https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Fort_Wayne
Architecture and Transportation	airports	https://en.wikipedia.org/wiki/List_of_busiest_airports_by_passenger_traffic
Arts and Media	film awards	https://en.wikipedia.org/wiki/23rd_Independent_Spirit_Awards
Arts and Media	music chart	https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_top-ten_singles_in_1984
Computer Science and AI	supercomputers	https://en.wikipedia.org/wiki/TOP500
Computer Science and AI	programming languages	https://en.wikipedia.org/wiki/Comparison_of_programming_languages
Earth, Environment, and Space	impact structures	https://en.wikipedia.org/wiki/List_of_impact_structures_in_Europe
Earth, Environment, and Space	observatories	https://en.wikipedia.org/wiki/List_of_astronomical_observatories
Economy and Business	banks	https://en.wikipedia.org/wiki/List_of_largest_banks
Economy and Business	companies	https://en.wikipedia.org/wiki/List_of_largest_companies_by_revenue
Education	colleges	https://en.wikipedia.org/wiki/List_of_colleges_and_universities_in_Maine
Education	university rankings	https://en.wikipedia.org/wiki/Academic_Ranking_of_World_Universities
Engineering and Technology	bridges	https://en.wikipedia.org/wiki/List_of_longest_suspension_bridge_spans
Engineering and Technology	dams	https://en.wikipedia.org/wiki/List_of_largest_dams
Food, Agriculture, and Daily Life	cereal production	https://en.wikipedia.org/wiki/List_of_countries_by_cereal_production
Food, Agriculture, and Daily Life	wine production	https://en.wikipedia.org/wiki/List_of_wine-producing_regions
Geography	lakes	https://en.wikipedia.org/wiki/List_of_lakes_of_Minnesota
Geography	islands	https://en.wikipedia.org/wiki/List_of_islands_by_area
Language and Literature	literary awards	https://en.wikipedia.org/wiki/Cybils_Award
Language and Literature	book awards	https://en.wikipedia.org/wiki/List_of_winners_of_the_National_Book_Award
Life Sciences	bird populations	https://en.wikipedia.org/wiki/List_of_birds_by_population
Life Sciences	cephalopod size	https://en.wikipedia.org/wiki/Cephalopod_size
Mathematics	mathematical constants	https://en.wikipedia.org/wiki/List_of_mathematical_constants
Mathematics	polyhedra	https://en.wikipedia.org/wiki/List_of_uniform_polyhedra
Medicine and Health	hospitals	https://en.wikipedia.org/wiki/List_of_hospitals_in_Russia
Medicine and Health	epidemics	https://en.wikipedia.org/wiki/List_of_epidemics_and_pandemics
People	nobel laureates	https://en.wikipedia.org/wiki/List_of_Nobel_laureates
People	award records	https://en.wikipedia.org/wiki/List_of_Academy_Award_records
Philosophy and Religion	popes	https://en.wikipedia.org/wiki/List_of_popes
Philosophy and Religion	religion demographics	https://en.wikipedia.org/wiki/Religion_in_the_United_States
Physical Sciences	chemical elements	https://en.wikipedia.org/wiki/List_of_chemical_elements
Physical Sciences	nearby stars	https://en.wikipedia.org/wiki/List_of_nearest_stars
Politics and Law	municipal elections	https://en.wikipedia.org/wiki/2019_Chicago_aldermanic_election
Politics and Law	court cases	https://en.wikipedia.org/wiki/United_States_Reports,_volume_1
Society and Culture	museums	https://en.wikipedia.org/wiki/List_of_museums_in_Kentucky
Society and Culture	public art	https://en.wikipedia.org/wiki/List_of_public_art_in_Indianapolis
Sports and Recreation	tournament venues	https://en.wikipedia.org/wiki/2026_FIFA_World_Cup
Sports and Recreation	athletics results	https://en.wikipedia.org/wiki/2014_World_Junior_Championships_in_Athletics
History	battles	https://en.wikipedia.org/wiki/List_of_battles_by_casualties
History	empires	https://en.wikipedia.org/wiki/List_of_largest_empires
