# domain	subdomain	url
Architecture and Transportation	railway stations	https://en.wikipedia.org/wiki/List_of_busiest_railway_stations_in_Great_Britain_(2019%E2%80%9320)
Architecture and Transportation	airports	https://en.wikipedia.org/wiki/List_of_busiest_airports_by_passenger_traffic_(2000%E2%80%932009)
Computer Science and AI	programming languages	https://en.wikipedia.org/wiki/Actor_model
Computer Science and AI	computing benchmarks	https://en.wikipedia.org/wiki/List_of_benchmarking_methods_and_software_tools
Earth, Environment, and Space	impact structures	https://en.wikipedia.org/wiki/List_of_impact_structures_in_Africa
Economy and Business	companies	https://en.wikipedia.org/wiki/List_of_The_Electric_Company_(2009_TV_series)_episodes
Education	schools	https://en.wikipedia.org/wiki/List_of_school_districts_in_New_York
Engineering and Technology	bridges	https://en.wikipedia.org/wiki/List_of_longest_cantilever_bridge_spans
Food, Agriculture, and Daily Life	wine regions	https://en.wikipedia.org/wiki/List_of_wine-producing_regions
Geography	lakes	https://en.wikipedia.org/wiki/List_of_lakes_by_area
Language and Literature	books	https://en.wikipedia.org/wiki/List_of_Booknotes_interviews_first_aired_in_1990
