# domain	subdomain	url
Architecture and Transportation	railway stations	https://en.wikipedia.org/wiki/List_of_busiest_railway_stations_in_West_Yorkshire
Architecture and Transportation	railway stations	https://en.wikipedia.org/wiki/Bishops_Lydeard_railway_station
Arts and Media	film awards	https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_%E2%80%93_Telugu
Arts and Media	film awards	https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Economy and Business	companies	https://en.wikipedia.org/wiki/List_of_ships_built_by_Hall,_Russell_%26_Company_(601%E2%80%93700)
Economy and Business	companies	https://en.wikipedia.org/wiki/List_of_American_Broadcasting_Company_television_affiliates
Education	universities	https://en.wikipedia.org/wiki/Presidents_of_Leipzig_University
Education	universities	https://en.wikipedia.org/wiki/2014%E2%80%9315_Boston_University_Terriers_men%27s_ice_hockey_season
Engineering and Technology	bridges	https://en.wikipedia.org/wiki/List_of_pontoon_bridges
Geography	lakes	https://en.wikipedia.org/wiki/Lake_Independence_(Belize_House_constituency)
Geography	lakes	https://en.wikipedia.org/wiki/Carlisle_Lake_District_Airport
Life Sciences	birds	https://en.wikipedia.org/wiki/Angry_Birds_Stella_(TV_series)
Medicine and Health	hospitals	https://en.wikipedia.org/wiki/List_of_NHS_regional_hospital_boards_(1947%E2%80%931974)
Politics and Law	elections	https://en.wikipedia.org/wiki/2017_Japanese_general_election
Politics and Law	elections	https://en.wikipedia.org/wiki/2018_Massachusetts_gubernatorial_election
Society and Culture	museums	https://en.wikipedia.org/wiki/Leeds_Industrial_Museum_at_Armley_Mills
Society and Culture	museums	https://en.wikipedia.org/wiki/National_Commission_for_Museums_and_Monuments
Sports and Recreation	championship results	https://en.wikipedia.org/wiki/2014_World_Junior_Championships_in_Athletics_%E2%80%93_Women%27s_heptathlon
Sports and Recreation	championship results	https://en.wikipedia.org/wiki/2014_FINA_World_Swimming_Championships_(25_m)_%E2%80%93_Women%27s_100_metre_breaststroke
History	battles	https://en.wikipedia.org/wiki/Battle_Royale_(manga)
History	battles	https://en.wikipedia.org/wiki/Battle_of_Bassignana_(1799)
