# domain	subdomain	url
Architecture and Transportation	airports	https://en.wikipedia.org/wiki/Visakhapatnam_Airport
Architecture and Transportation	airports	https://en.wikipedia.org/wiki/Carlisle_Lake_District_Airport
Arts and Media	film awards	https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_%E2%80%93_Telugu
Arts and Media	film awards	https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Economy and Business	banks	https://en.wikipedia.org/wiki/List_of_banks_in_Ukraine
Economy and Business	banks	https://en.wikipedia.org/wiki/List_of_banks_in_Malaysia
Education	universities	https://en.wikipedia.org/wiki/Presidents_of_Leipzig_University
Education	universities	https://en.wikipedia.org/wiki/2014%E2%80%9315_Boston_University_Terriers_men%27s_ice_hockey_season
Engineering and Technology	bridges	https://en.wikipedia.org/wiki/List_of_pontoon_bridges
Food, Agriculture, and Daily Life	crop production	https://en.wikipedia.org/wiki/Travis_Scott_production_discography
Geography	islands	https://en.wikipedia.org/wiki/List_of_lighthouses_in_the_Canary_Islands
Geography	islands	https://en.wikipedia.org/wiki/Siau_Tagulandang_Biaro_Islands_Regency
Language and Literature	books	https://en.wikipedia.org/wiki/The_Great_Controversy_(book)
Language and Literature	books	https://en.wikipedia.org/wiki/Sixty-Six_Books
Life Sciences	birds	https://en.wikipedia.org/wiki/Picus_(bird)
Life Sciences	birds	https://en.wikipedia.org/wiki/Tangara_(bird)
Mathematics	mathematical constants	https://en.wikipedia.org/wiki/Constant-weight_code
Mathematics	mathematical constants	https://en.wikipedia.org/wiki/Ebullioscopic_constant
Medicine and Health	hospitals	https://en.wikipedia.org/wiki/List_of_NHS_regional_hospital_boards_(1947%E2%80%931974)
Philosophy and Religion	religion demographics	https://en.wikipedia.org/wiki/Religion_in_Scotland
Philosophy and Religion	religion demographics	https://en.wikipedia.org/wiki/Bad_Religion_discography
Physical Sciences	stars	https://en.wikipedia.org/wiki/BSA_Gold_Star
Physical Sciences	stars	https://en.wikipedia.org/wiki/Lego_Star_Wars
Politics and Law	elections	https://en.wikipedia.org/wiki/2016_United_States_House_of_Representatives_elections_in_Arizona
Politics and Law	elections	https://en.wikipedia.org/wiki/2017_Japanese_general_election
Society and Culture	museums	https://en.wikipedia.org/wiki/Leeds_Industrial_Museum_at_Armley_Mills
Society and Culture	museums	https://en.wikipedia.org/wiki/National_Commission_for_Museums_and_Monuments
Sports and Recreation	stadiums	https://en.wikipedia.org/wiki/List_of_football_stadiums_in_Algeria
Sports and Recreation	stadiums	https://en.wikipedia.org/wiki/Wibawa_Mukti_Stadium
History	battles	https://en.wikipedia.org/wiki/Battle_of_Bassignana_(1799)
